DB名,何灯式,次の信号機のDB名1,次の信号機のDB名2,次の信号機のDB名3,次の信号機のDB名4,次の信号機のDB名5,,対応進路名1,対応進路名2,対応進路名3,対応進路名4,対応進路名5,対応進路名6,対応進路名7,対応進路名8,対応進路名9,対応進路名10,対応進路名11,,対応方向進路名1,対応方向進路名2,向き,防護区間軌道回路
駒野下り出発4L,3灯式,下り閉塞9,なし,なし,なし,なし,,TH75_4L,,,,,,,,,,,,,,なし,なし
駒野下り出発6L,4灯YG式,駒野下り第二出発2L,なし,なし,なし,なし,,TH75_6L,,,,,,,,,,,,,,なし,なし
駒野下り出発6L中継,中継（灯列）,駒野下り出発6L,なし,なし,なし,なし,,TH75_6L,,,,,,,,,,,,,,なし,なし
駒野下り場内9LB,2灯式,なし,なし,なし,なし,なし,,TH75_9LA,TH75_9LB,,,,,,,,,,,,,なし,なし
駒野下り場内9LC,4灯YG式,駒野下り出発6L,なし,なし,なし,なし,,TH75_9LC,,,,,,,,,,,,,,なし,なし
駒野下り場内9L中継,中継（灯列）,駒野下り場内9LB,駒野下り場内9LC,なし,なし,なし,,TH75_9LA,TH75_9LB,TH75_9LC,,,,,,,,,,,,なし,なし
駒野下り第二出発2L,4灯YG式,下り閉塞9,なし,なし,なし,なし,,TH75_2L,,,,,,,,,,,,,,なし,なし
駒野入換11R,入換信号機,駒野入換13R,駒野入換25R,駒野入換26R,なし,なし,,TH75_11RD5,TH75_11RD6,TH75_11RE,,,,,,,,,,,,なし,なし
駒野入換12L,入換信号機,なし,なし,なし,なし,なし,,TH75_12L,,,,,,,,,,,,,,なし,なし
駒野入換13R,入換信号機,なし,なし,なし,なし,なし,,TH75_13RA,TH75_13RB,,,,,,,,,,,,,なし,なし
駒野入換14L,入換信号機,駒野入換12L,なし,なし,なし,なし,,TH75_14L,,,,,,,,,,,,,,なし,なし
駒野入換15L,入換信号機,駒野入換34L,駒野入換35L,駒野入換36L,なし,なし,,TH75_15L4,TH75_15LD5,TH75_15LD6,,,,,,,,,,,,なし,なし
駒野入換24R,入換信号機,なし,なし,なし,なし,なし,,TH75_24R,,,,,,,,,,,,,,なし,なし
駒野入換25R,入換信号機,なし,なし,なし,なし,なし,,TH75_25R,,,,,,,,,,,,,,なし,なし
駒野入換26R,入換信号機,なし,なし,なし,なし,なし,,TH75_26R,,,,,,,,,,,,,,なし,なし
駒野入換27R,入換信号機,駒野入換24R,駒野入換25R,駒野入換26R,なし,なし,,TH75_27R4,TH75_27RD5,TH75_27RD6,,,,,,,,,,,,なし,なし
駒野入換28R,入換信号機,駒野入換25R,駒野入換26R,なし,なし,なし,,TH75_28RD5,TH75_28RD6,,,,,,,,,,,,,なし,なし
駒野入換29R,入換信号機,駒野入換25R,駒野入換26R,なし,なし,なし,,TH75_29RD5,TH75_29RD6,,,,,,,,,,,,,なし,なし
駒野入換34L,入換信号機,なし,なし,なし,なし,なし,,TH75_34L,,,,,,,,,,,,,,なし,なし
駒野入換35L,入換信号機,なし,なし,なし,なし,なし,,TH75_35L7,TH75_35L8,TH75_35L9,TH75_35LT,,,,,,,,,,,なし,なし
駒野入換36L,入換信号機,なし,なし,なし,なし,なし,,TH75_36L7,TH75_36L8,TH75_36L9,TH75_36LT,,,,,,,,,,,なし,なし
高見沢上り出発14R,3灯式,上り閉塞218,なし,なし,なし,なし,,TH62_14R,,,,,,,,,,,,,,なし,なし
高見沢上り出発15R,3灯式,上り閉塞218,なし,なし,なし,なし,,TH62_15R,,,,,,,,,,,,,,なし,なし
高見沢上り場内12R,3灯式,高見沢上り出発14R,なし,なし,なし,なし,,TH62_12R,,,,,,,,,,,,,,なし,なし
高見沢上り場内13R,3灯式,高見沢上り出発15R,なし,なし,なし,なし,,TH62_13R,,,,,,,,,,,,,,なし,なし
高見沢下り出発12L,3灯式,下り閉塞209,なし,なし,なし,なし,,TH62_12L,,,,,,,,,,,,,,なし,なし
高見沢下り出発13L,3灯式,下り閉塞209,なし,なし,なし,なし,,TH62_13L,,,,,,,,,,,,,,なし,なし
高見沢下り場内14L,3灯式,高見沢下り出発12L,高見沢下り出発13L,なし,なし,なし,,TH62_14L,,,,,,,,,,,,,,なし,なし
高見沢下り場内15L,3灯式,高見沢下り出発12L,高見沢下り出発13L,なし,なし,なし,,TH62_15L,,,,,,,,,,,,,,なし,なし
上り閉塞6,4灯YG式,上り閉塞8,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞8中継,中継（色灯4灯YG式）,上り閉塞8,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞8,4灯YG式,駒野上り場内1RD,駒野上り場内1RE,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞26,4灯YG式,上り閉塞30,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞30,4灯YG式,上り閉塞36,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞36,4灯YG式,上り閉塞42,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞42中継,4灯YG式,上り閉塞42,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞42,4灯YG式,上り閉塞48,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞48中継,4灯YG式,上り閉塞48,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞48,4灯YG式,上り閉塞56,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞56,4灯YG式,上り閉塞62,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞62,4灯YG式,上り閉塞68,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞68,4灯YG式,上り閉塞74,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞74,4灯YG式,津崎上り場内1RA,津崎上り場内1RB,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞86,4灯YG式,上り閉塞92,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞92,4灯YG式,浜園上り場内1R,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞102,4灯YG式,上り閉塞108,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞108,4灯YG式,上り閉塞114,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞114,4灯YG式,上り閉塞120,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞120,4灯YG式,上り閉塞124,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞124,4灯YG式,新野崎上り場内1RA,新野崎上り場内1RB,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞124中継,中継（灯列）,上り閉塞124,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞136,4灯YG式,上り閉塞142,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞142,4灯YG式,上り閉塞146,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞142中継,中継（灯列）,上り閉塞142,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞146,4灯YG式,江ノ原信号場上り場内1RA,江ノ原信号場上り場内1RB,江ノ原信号場上り場内1RC,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞156,4灯YG式,大道寺上り場内1R,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞166,3灯式,上り閉塞172,なし,なし,なし,なし,,,,,,,,,,,,,,TH65_14F,TH64_11F,R,DF1T
上り閉塞166中継,中継（色灯3灯式）,上り閉塞166,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞172,3灯式,藤江上り場内12R,藤江上り場内13R,なし,なし,なし,,,,,,,,,,,,,,TH65_14F,TH64_11F,R,DF2T
上り閉塞188,3灯式,水越上り場内12R,水越上り場内13R,なし,なし,なし,,,,,,,,,,,,,,TH64_16F,TH63_11F,R,FMT
上り閉塞200,3灯式,上り閉塞204,なし,なし,なし,なし,,,,,,,,,,,,,,TH63_16F,TH62_11F,R,MT1T
上り閉塞204,3灯式,高見沢上り出発14R,高見沢上り出発15R,なし,なし,なし,,,,,,,,,,,,,,TH63_16F,TH62_11F,R,MT2T
上り閉塞218,3灯式,上り閉塞224,なし,なし,なし,なし,,,,,,,,,,,,,,TH62_16F,TH61_1F,R,TH1T
上り閉塞224,3灯式,日野森上り場内2RA,日野森上り場内2RB,なし,なし,なし,,,,,,,,,,,,,,TH62_16F,TH61_1F,R,TH2T
上り閉塞238,4灯YG式,上り閉塞242,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞242,4灯YG式,上り閉塞246,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞246,4灯YG式,上り閉塞250,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞250,4灯YG式,西赤山上り場内11R,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞258,3灯式,上り閉塞268,なし,なし,なし,なし,,,,,,,,,,,,,,TH59_14F,TH58_1F,R,NA1T
上り閉塞268,3灯式,赤山町上り場内2R,なし,なし,なし,なし,,,,,,,,,,,,,,TH59_14F,TH58_1F,R,NA2T
上り閉塞282,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞288,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞306,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞312,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞314,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞320,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞324,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞334,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞336,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞346,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞360,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞372,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞384,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞398,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞404,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞406,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞416,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞420,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上り閉塞424,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞7,4灯YY式G無,館浜下り場内5L,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞7中継,中継（色灯4灯YY式G無）,下り閉塞7,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞9,5灯式,下り閉塞7,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞27,4灯YG式,駒野下り場内9LB,駒野下り場内9LC,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞35,4灯YG式,下り閉塞27,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞41,4灯YG式,下り閉塞35,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞45,4灯YG式,下り閉塞41,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞49,4灯YG式,下り閉塞45,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞55,4灯YG式,下り閉塞49,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞59,4灯YG式,下り閉塞55,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞67,4灯YG式,下り閉塞59,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞71,4灯YG式,下り閉塞67,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞75,4灯YG式,下り閉塞71,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞89,4灯YG式,津崎下り場内6LC,津崎下り場内6LD,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞103,4灯YG式,浜園下り場内5L,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞105,4灯YG式,下り閉塞103,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞111,4灯YG式,下り閉塞105,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞117,4灯YG式,下り閉塞111,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞117中継,中継（灯列）,下り閉塞117,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞123,4灯YG式,下り閉塞117,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞137,4灯YG式,新野崎下り場内10LC,新野崎下り場内10LD,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞143,4灯YG式,下り閉塞137,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞145,4灯YG式,下り閉塞143,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞151,4灯YG式,下り閉塞145,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞171,4灯YG式,大道寺下り場内13LC,大道寺下り場内13LD,なし,なし,なし,,,,,,,,,,,,,,TH65_14F,TH64_11F,L,DF1T
下り閉塞177,4灯YG式,下り閉塞171,なし,なし,なし,なし,,,,,,,,,,,,,,TH65_14F,TH64_11F,L,DF2T
下り閉塞193,4灯YG式,藤江下り場内14L,藤江下り場内15L,なし,なし,なし,,,,,,,,,,,,,,TH64_16F,TH63_11F,L,FMT
下り閉塞203,4灯YG式,水越下り場内15L,水越下り場内14L,なし,なし,なし,,,,,,,,,,,,,,TH63_16F,TH62_11F,L,MT1T
下り閉塞209,3灯式,下り閉塞203,なし,なし,なし,なし,,,,,,,,,,,,,,TH63_16F,TH62_11F,L,MT2T
下り閉塞223,3灯式,高見沢下り場内14L,高見沢下り場内15L,なし,なし,なし,,,,,,,,,,,,,,TH62_16F,TH61_1F,L,TH1T
下り閉塞227,3灯式,下り閉塞223,なし,なし,なし,なし,,,,,,,,,,,,,,TH62_16F,TH61_1F,L,TH2T
下り閉塞237,4灯YG式,日野森下り場内6L,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞241,4灯YG式,下り閉塞237,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞245,4灯YG式,下り閉塞241,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞249,4灯YG式,下り閉塞245,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞267,3灯式,西赤山下り場内13L,なし,なし,なし,なし,,,,,,,,,,,,,,TH59_14F,TH58_1F,L,NA1T
下り閉塞277,3灯式,下り閉塞267,なし,なし,なし,なし,,,,,,,,,,,,,,TH59_14F,TH58_1F,L,NA2T
下り閉塞287,4灯YG式,赤山町下り場内9L,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞295,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞305,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞311,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞313,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞317,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞323,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞333,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞335,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞341,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞351,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞365,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞377,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞389,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞397,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞403,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞405,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞419,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下り閉塞425,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
